AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-5200.0,-88.0,16256.0,1691.0,1322.0,225.0
-5008.0,-144.0,16240.0,1806.0,1272.0,300.0
-5020.0,4.0,16396.0,1740.0,1298.0,248.0
-5124.0,-68.0,16336.0,1758.0,1299.0,256.0
-4964.0,-124.0,16332.0,1736.0,1318.0,258.0
-5092.0,-4.0,16348.0,1789.0,1325.0,237.0
-5004.0,0.0,16320.0,1769.0,1326.0,292.0
-5020.0,-52.0,16284.0,1734.0,1285.0,245.0
-5044.0,-64.0,16320.0,1756.0,1285.0,254.0
-5048.0,-92.0,16244.0,1747.0,1289.0,236.0
-4960.0,-172.0,16296.0,1733.0,1289.0,273.0
-4988.0,-96.0,16320.0,1733.0,1301.0,278.0
-5044.0,-80.0,16280.0,1773.0,1298.0,249.0
-4992.0,-12.0,16276.0,1721.0,1295.0,271.0
-4972.0,-20.0,16272.0,1757.0,1309.0,235.0
-4972.0,-20.0,16284.0,1749.0,1293.0,228.0
-4968.0,-16.0,16292.0,1761.0,1304.0,272.0
-5000.0,-20.0,16336.0,1740.0,1279.0,260.0
-5004.0,-44.0,16368.0,1765.0,1323.0,265.0
-5064.0,-52.0,16200.0,1767.0,1293.0,268.0
-4996.0,-44.0,16328.0,1760.0,1281.0,279.0
-5112.0,-120.0,16272.0,1784.0,1316.0,252.0
-5060.0,-48.0,16256.0,1745.0,1304.0,296.0
-5028.0,-52.0,16244.0,1762.0,1301.0,262.0
-4968.0,-24.0,16224.0,1733.0,1307.0,252.0
-5028.0,-68.0,16284.0,1770.0,1323.0,281.0
-5020.0,-68.0,16268.0,1734.0,1292.0,292.0
-5016.0,-20.0,16340.0,1760.0,1293.0,254.0
-4992.0,-16.0,16420.0,1773.0,1290.0,299.0
-4980.0,-28.0,16296.0,1732.0,1311.0,249.0
-4960.0,-36.0,16340.0,1787.0,1315.0,227.0
-5008.0,-92.0,16292.0,1730.0,1303.0,268.0
-5088.0,-88.0,16248.0,1719.0,1319.0,276.0
-5040.0,-48.0,16360.0,1758.0,1297.0,265.0
-5000.0,-80.0,16352.0,1739.0,1283.0,250.0
-12396.0,-232.0,32767.0,8429.0,-23013.0,5264.0
-2184.0,1172.0,1364.0,-2107.0,-12201.0,-2754.0
-1256.0,800.0,17516.0,6511.0,5691.0,-309.0
-3488.0,1072.0,17796.0,918.0,2796.0,-1379.0
-4440.0,-336.0,19256.0,-661.0,-1547.0,-1503.0
-8524.0,6560.0,4384.0,-5585.0,5979.0,-11374.0
-5692.0,172.0,13012.0,-13299.0,-7709.0,-1902.0
2144.0,-1868.0,21800.0,6901.0,-2141.0,-3664.0
-760.0,-484.0,14072.0,10660.0,-813.0,-5390.0
2108.0,4124.0,17776.0,-1442.0,3762.0,-9609.0
-19020.0,3312.0,10572.0,-5957.0,-12999.0,-12936.0
2656.0,-15260.0,21308.0,-18815.0,114.0,-6739.0
-4172.0,-860.0,24764.0,-23597.0,-3066.0,-4070.0
2396.0,1888.0,15056.0,-23746.0,-8001.0,3862.0
3028.0,-1224.0,18816.0,410.0,-6389.0,12159.0
-424.0,-900.0,26228.0,65.0,-7970.0,7799.0
680.0,1568.0,17180.0,-11792.0,-13422.0,8286.0
-952.0,-2204.0,10084.0,-15163.0,-6800.0,12259.0
-808.0,-6004.0,12696.0,-6786.0,-4504.0,12080.0
-1984.0,-11324.0,6680.0,3336.0,-9756.0,7754.0
-3780.0,-12472.0,5620.0,16141.0,-5122.0,4433.0
-2372.0,-11012.0,11876.0,22398.0,-1404.0,-1009.0
-24.0,-6576.0,20832.0,11806.0,2736.0,-2494.0
4044.0,972.0,22328.0,-7832.0,-1240.0,7.0
5324.0,3416.0,15548.0,-4534.0,-4235.0,5309.0
4052.0,-720.0,9956.0,6268.0,-4876.0,10668.0
360.0,-8052.0,10464.0,10913.0,2014.0,10018.0
-6084.0,-14788.0,22576.0,12416.0,7236.0,1504.0
-3328.0,-8076.0,26476.0,4530.0,1222.0,-4992.0
2608.0,832.0,18664.0,-7771.0,-6803.0,-3120.0
5012.0,2140.0,12660.0,-2577.0,-7266.0,2225.0
5624.0,336.0,10400.0,398.0,-2513.0,7431.0
2364.0,-2584.0,11848.0,4864.0,2367.0,10068.0
-4624.0,-14868.0,22992.0,6649.0,3919.0,5414.0
-7456.0,-17088.0,23144.0,7180.0,-10075.0,-4130.0
-3472.0,-9424.0,6756.0,12572.0,-13842.0,-7818.0
4128.0,-6400.0,7372.0,15858.0,-5033.0,-9986.0
7164.0,2716.0,17000.0,9481.0,68.0,-9382.0
9896.0,11016.0,19164.0,4073.0,74.0,-637.0
8904.0,9612.0,17640.0,-2491.0,2314.0,8994.0
7140.0,4016.0,17468.0,-4290.0,3153.0,13800.0
1448.0,-2724.0,19732.0,-6521.0,4282.0,14033.0
-4776.0,-9556.0,16144.0,-5685.0,7327.0,10869.0
-8512.0,-19012.0,20048.0,-985.0,4071.0,815.0
-5660.0,-15140.0,16060.0,-2059.0,-3197.0,-9815.0
2980.0,-3724.0,10644.0,1755.0,-3219.0,-11222.0
9124.0,3408.0,12348.0,6081.0,-734.0,-6304.0
10344.0,5484.0,14572.0,9272.0,-158.0,983.0
7908.0,4472.0,17316.0,8597.0,144.0,7818.0
-748.0,-6032.0,23816.0,8364.0,1004.0,8140.0
-5196.0,-11328.0,27500.0,-3815.0,-371.0,-961.0
680.0,-4192.0,11724.0,-10685.0,-2991.0,-3941.0
8548.0,2600.0,7856.0,-4449.0,3533.0,693.0
10224.0,3992.0,12696.0,-4328.0,8715.0,7370.0
2840.0,-804.0,13008.0,603.0,7883.0,10838.0
-5756.0,-15136.0,26324.0,6823.0,4477.0,5112.0
-7488.0,-16652.0,20112.0,1043.0,-3406.0,-4732.0
-1032.0,-8932.0,9772.0,-2825.0,-3378.0,-9481.0
8076.0,1016.0,7260.0,3869.0,2467.0,-6537.0
11696.0,6668.0,12612.0,6130.0,7492.0,1527.0
8252.0,5388.0,17612.0,8223.0,7269.0,8599.0
568.0,-1396.0,19044.0,8047.0,3857.0,13405.0
-11732.0,-19804.0,22820.0,16669.0,1739.0,4298.0
-8980.0,-15840.0,20852.0,-3155.0,2550.0,-8428.0
-1120.0,-4276.0,15960.0,-3587.0,-241.0,-14493.0
8696.0,9068.0,15628.0,4275.0,-107.0,-7264.0
12940.0,7804.0,19336.0,4755.0,-1042.0,1700.0
9188.0,7120.0,15896.0,2486.0,-141.0,7916.0
3612.0,2016.0,17712.0,434.0,4278.0,12563.0
-4352.0,-10312.0,21040.0,-7552.0,7903.0,10290.0
-11404.0,-18632.0,19116.0,-13522.0,3636.0,-410.0
-6904.0,-14780.0,10108.0,-7859.0,-1183.0,-9908.0
1480.0,-4944.0,9184.0,7396.0,-2238.0,-12304.0
11912.0,6460.0,15920.0,12578.0,-1749.0,-5905.0
12384.0,8520.0,15108.0,10461.0,-1658.0,3442.0
8316.0,5288.0,13208.0,10126.0,1696.0,10434.0
-4156.0,-10352.0,18260.0,7914.0,7168.0,11831.0
-14888.0,-21616.0,30448.0,3822.0,1282.0,-3328.0
-7492.0,-8408.0,14564.0,-5907.0,-5149.0,-11584.0
4568.0,860.0,7724.0,5327.0,-1184.0,-12205.0
12116.0,8016.0,18044.0,9940.0,1697.0,-5841.0
11800.0,9328.0,19988.0,3983.0,910.0,2813.0
8748.0,6516.0,18244.0,2062.0,1537.0,9594.0
2872.0,1012.0,18080.0,-1739.0,4589.0,13144.0
-4436.0,-9984.0,18160.0,-6469.0,4504.0,10533.0
-8568.0,-15908.0,17216.0,-6777.0,4521.0,1921.0
-5528.0,-12528.0,14796.0,-6744.0,341.0,-6331.0
2088.0,-3992.0,14660.0,953.0,-742.0,-8933.0
10532.0,6548.0,16976.0,2359.0,-1491.0,-3819.0
12492.0,9060.0,14860.0,1745.0,-999.0,6999.0
4492.0,684.0,10136.0,2112.0,2302.0,14011.0
-10328.0,-20992.0,16432.0,13583.0,3963.0,5928.0
-14884.0,-21920.0,26092.0,6180.0,-1271.0,-10096.0
-4120.0,-6688.0,14756.0,-2597.0,-4714.0,-17451.0
9416.0,6712.0,11060.0,3753.0,-627.0,-12770.0
13416.0,9888.0,15716.0,8497.0,1971.0,-4041.0
11076.0,9540.0,19676.0,6782.0,210.0,4534.0
5728.0,2568.0,16828.0,5242.0,-582.0,10161.0
-3636.0,-7688.0,21460.0,2243.0,4727.0,8140.0
732.0,-5056.0,22972.0,-15206.0,5910.0,2593.0
5564.0,1932.0,12684.0,-17743.0,5465.0,6111.0
5764.0,584.0,11864.0,-5185.0,4654.0,9824.0
-2332.0,-9496.0,11860.0,2093.0,2689.0,9429.0
-9312.0,-17964.0,16672.0,5679.0,5794.0,49.0
-6056.0,-12416.0,21912.0,979.0,1027.0,-9023.0
1116.0,-4764.0,14520.0,1884.0,-2802.0,-11022.0
9336.0,4932.0,12492.0,3454.0,-577.0,-5048.0
12108.0,6812.0,15404.0,7605.0,936.0,4156.0
6416.0,3120.0,14908.0,6361.0,2519.0,9590.0
-3816.0,-9508.0,19928.0,4527.0,5052.0,8712.0
-13856.0,-20820.0,25584.0,506.0,-460.0,-3994.0
-6968.0,-11428.0,12204.0,-4360.0,-4225.0,-12526.0
3472.0,-2316.0,8812.0,6308.0,-2155.0,-13095.0
11844.0,6164.0,12768.0,12195.0,754.0,-6934.0
11252.0,8304.0,17020.0,10157.0,1368.0,46.0
3976.0,1004.0,20724.0,10544.0,-2193.0,6448.0
-8664.0,-15732.0,23040.0,15711.0,-7380.0,-627.0
-6176.0,-11860.0,14128.0,4862.0,-5832.0,-9200.0
3084.0,-1000.0,13032.0,1272.0,320.0,-12548.0
11616.0,8736.0,16936.0,5126.0,1965.0,-8273.0
12468.0,12712.0,20624.0,5289.0,479.0,293.0
11016.0,9568.0,17788.0,-2750.0,3948.0,8189.0
5188.0,5456.0,17908.0,-12281.0,9579.0,13801.0
-1680.0,-7828.0,14592.0,-17455.0,11867.0,12347.0
-7760.0,-14720.0,18640.0,-8241.0,6076.0,5158.0
-6992.0,-15028.0,15480.0,-2643.0,-1629.0,-2651.0
-1324.0,-9148.0,11148.0,1951.0,-1356.0,-7915.0
8336.0,2896.0,12588.0,3607.0,2282.0,-5839.0
12544.0,7612.0,16284.0,2856.0,5296.0,1185.0
5764.0,3956.0,20148.0,3103.0,2892.0,8051.0
-6228.0,-12616.0,22388.0,6224.0,-1654.0,4375.0
-11192.0,-16964.0,17600.0,-1585.0,-1233.0,-6400.0
-1400.0,-8036.0,9424.0,-9111.0,1378.0,-12065.0
8840.0,3108.0,10148.0,2980.0,4662.0,-8327.0
13824.0,9412.0,20200.0,7459.0,5473.0,530.0
11192.0,7612.0,19188.0,6620.0,764.0,8590.0
1104.0,348.0,19796.0,3110.0,4228.0,12592.0
-10596.0,-17924.0,22352.0,-6807.0,4363.0,4964.0
-11196.0,-18108.0,17444.0,-9063.0,60.0,-7418.0
-2640.0,-10172.0,5460.0,-2956.0,-2673.0,-13268.0
8432.0,3440.0,8984.0,10105.0,1538.0,-9755.0
16568.0,11336.0,18288.0,12219.0,2686.0,346.0
11020.0,9220.0,20948.0,11503.0,865.0,9805.0
-1424.0,-2524.0,23592.0,10073.0,2734.0,11436.0
-12496.0,-17852.0,27024.0,-5605.0,1919.0,895.0
-8812.0,-15476.0,13804.0,-18404.0,-1834.0,-9863.0
304.0,-6388.0,1704.0,-2410.0,-1995.0,-12956.0
13116.0,6968.0,9416.0,14760.0,4104.0,-5805.0
16016.0,10912.0,21588.0,11266.0,3205.0,3656.0
6208.0,5848.0,20816.0,8366.0,1698.0,11630.0
-6764.0,-11272.0,29676.0,4579.0,3363.0,7444.0
-8576.0,-13056.0,19976.0,-18899.0,-2383.0,-546.0
-848.0,-7204.0,4848.0,-12745.0,-2036.0,-4502.0
8688.0,2280.0,6076.0,4933.0,4483.0,-799.0
11192.0,5400.0,16932.0,9003.0,6204.0,4718.0
2660.0,-296.0,20344.0,8592.0,4520.0,9170.0
-9088.0,-16452.0,29496.0,3596.0,1569.0,2029.0
-9480.0,-15384.0,14896.0,-12010.0,-4620.0,-8228.0
-1332.0,-8204.0,3640.0,-2250.0,-2650.0,-13257.0
8084.0,4588.0,7280.0,12847.0,3586.0,-9858.0
15808.0,10632.0,19988.0,11358.0,8501.0,242.0
9512.0,7428.0,24784.0,4292.0,5840.0,9294.0
-2632.0,-4700.0,24404.0,524.0,2927.0,9920.0
-10192.0,-13760.0,22988.0,-12949.0,1074.0,1960.0
-4560.0,-11952.0,8456.0,-16093.0,-1522.0,-5685.0
5548.0,-156.0,4340.0,-264.0,1282.0,-4822.0
13772.0,6440.0,15860.0,13100.0,6043.0,3346.0
10440.0,6204.0,22560.0,8586.0,3196.0,10394.0
-2992.0,-5256.0,21740.0,4458.0,2987.0,12616.0
-12552.0,-17560.0,23052.0,-5445.0,1731.0,3473.0
-9780.0,-16852.0,13212.0,-12053.0,-920.0,-7782.0
-1464.0,-7872.0,5112.0,-300.0,-1184.0,-12696.0
10556.0,5696.0,9060.0,11152.0,4247.0,-6435.0
15796.0,9036.0,21880.0,10283.0,5439.0,3507.0
8688.0,5636.0,21576.0,3942.0,2642.0,11867.0
-4060.0,-7712.0,19260.0,-481.0,5490.0,11611.0
-10416.0,-16708.0,16976.0,-14906.0,8089.0,2089.0
