AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-6684.0,-112.0,15704.0,1744.0,1296.0,312.0
-6608.0,-116.0,15780.0,1788.0,1298.0,314.0
-6592.0,-244.0,15736.0,1772.0,1295.0,317.0
-6604.0,-188.0,15648.0,1742.0,1310.0,299.0
-6644.0,-156.0,15716.0,1758.0,1267.0,328.0
-6604.0,-136.0,15688.0,1762.0,1307.0,313.0
-6644.0,-100.0,15728.0,1772.0,1289.0,319.0
-6588.0,-116.0,15748.0,1726.0,1295.0,307.0
-6548.0,-96.0,15632.0,1750.0,1268.0,323.0
-6572.0,-152.0,15772.0,1756.0,1301.0,302.0
-6600.0,-220.0,15708.0,1776.0,1259.0,313.0
-6664.0,-152.0,15688.0,1756.0,1276.0,325.0
-6592.0,-240.0,15700.0,1720.0,1310.0,311.0
-6656.0,-196.0,15760.0,1789.0,1335.0,315.0
-6616.0,-144.0,15720.0,1713.0,1283.0,302.0
-6672.0,-224.0,15756.0,1750.0,1293.0,309.0
-6564.0,-204.0,15692.0,1746.0,1297.0,318.0
-6664.0,-192.0,15672.0,1762.0,1330.0,280.0
-6644.0,-92.0,15792.0,1751.0,1300.0,333.0
-6604.0,-164.0,15644.0,1732.0,1302.0,289.0
-6644.0,-92.0,15692.0,1736.0,1273.0,330.0
-6640.0,-172.0,15740.0,1734.0,1269.0,314.0
-6584.0,-144.0,15780.0,1701.0,1255.0,277.0
-6628.0,-96.0,15776.0,1700.0,1288.0,292.0
-6676.0,-192.0,15704.0,1737.0,1268.0,314.0
-6672.0,-148.0,15760.0,1749.0,1256.0,322.0
-6616.0,-192.0,15720.0,1690.0,1313.0,330.0
-6580.0,-152.0,15680.0,1727.0,1316.0,287.0
-6640.0,-100.0,15816.0,1765.0,1321.0,317.0
-6560.0,-136.0,15680.0,1761.0,1281.0,307.0
-6584.0,-100.0,15680.0,1750.0,1261.0,298.0
-6572.0,-108.0,15720.0,1771.0,1272.0,275.0
-6592.0,-160.0,15708.0,1715.0,1329.0,285.0
-6576.0,-180.0,15704.0,1733.0,1352.0,314.0
-6596.0,-160.0,15648.0,1764.0,1305.0,323.0
-6584.0,-232.0,15708.0,1774.0,1263.0,328.0
-6624.0,-192.0,15672.0,1777.0,1290.0,343.0
-6624.0,-212.0,15688.0,1747.0,1319.0,304.0
-6608.0,-192.0,15720.0,1737.0,1280.0,304.0
-6668.0,-164.0,15772.0,1773.0,1313.0,299.0
-6624.0,-76.0,15764.0,1784.0,1272.0,319.0
-6656.0,-184.0,15628.0,1769.0,1295.0,319.0
-6624.0,-188.0,15712.0,1754.0,1309.0,322.0
-6652.0,-160.0,15792.0,1707.0,1321.0,301.0
-6628.0,-144.0,15732.0,1750.0,1329.0,307.0
-6676.0,-208.0,15684.0,1759.0,1257.0,301.0
-6676.0,-124.0,15620.0,1784.0,1285.0,309.0
-6576.0,-244.0,15748.0,1741.0,1308.0,307.0
-6612.0,-172.0,15708.0,1731.0,1291.0,275.0
-6624.0,-148.0,15720.0,1714.0,1302.0,290.0
-6648.0,-148.0,15708.0,1745.0,1292.0,317.0
-6648.0,-128.0,15648.0,1759.0,1296.0,320.0
-6596.0,-140.0,15708.0,1769.0,1276.0,307.0
-6600.0,-72.0,15708.0,1773.0,1340.0,302.0
-6656.0,-200.0,15748.0,1696.0,1339.0,286.0
-6652.0,-188.0,15736.0,1721.0,1315.0,323.0
-6680.0,-148.0,15692.0,1778.0,1255.0,296.0
-6612.0,-148.0,15828.0,1761.0,1276.0,339.0
-6592.0,-140.0,15684.0,1734.0,1251.0,314.0
-6588.0,-180.0,15716.0,1738.0,1297.0,283.0
-6564.0,-208.0,15760.0,1716.0,1305.0,290.0
-6628.0,-180.0,15780.0,1713.0,1304.0,333.0
-6608.0,-212.0,15760.0,1780.0,1269.0,307.0
-6676.0,-120.0,15624.0,1779.0,1281.0,304.0
-6720.0,-200.0,15776.0,1760.0,1280.0,325.0
-6712.0,-108.0,15700.0,1700.0,1290.0,301.0
-6580.0,-184.0,15680.0,1744.0,1287.0,281.0
-6640.0,-60.0,15728.0,1762.0,1294.0,317.0
-6636.0,-112.0,15720.0,1817.0,1281.0,343.0
-6572.0,-200.0,15712.0,1750.0,1300.0,279.0
-6636.0,-152.0,15656.0,1761.0,1296.0,294.0
-6672.0,-144.0,15680.0,1758.0,1319.0,342.0
-6636.0,-212.0,15692.0,1725.0,1319.0,316.0
-6604.0,-176.0,15648.0,1764.0,1308.0,308.0
-6620.0,-200.0,15784.0,1764.0,1315.0,298.0
-6668.0,-124.0,15660.0,1718.0,1284.0,302.0
-6608.0,-148.0,15696.0,1742.0,1300.0,283.0
-6632.0,-140.0,15744.0,1719.0,1315.0,315.0
-4736.0,2892.0,17452.0,1873.0,1134.0,1055.0
-8812.0,-892.0,14292.0,6009.0,-5171.0,32767.0
-8568.0,-1860.0,14816.0,22235.0,-9785.0,30300.0
-6024.0,-4080.0,16336.0,29389.0,-12544.0,12872.0
-2928.0,4216.0,11808.0,27120.0,-10295.0,4873.0
-3704.0,16512.0,29628.0,-5099.0,2493.0,-3676.0
-3204.0,4976.0,16348.0,-5607.0,2789.0,-7250.0
-3628.0,7448.0,18068.0,-669.0,1740.0,-6134.0
-4348.0,3556.0,16208.0,-4649.0,4386.0,-2497.0
-4688.0,3712.0,15708.0,-5512.0,4610.0,-2922.0
-5024.0,3144.0,15864.0,-6316.0,5218.0,-3171.0
-5364.0,2472.0,16040.0,-5567.0,4679.0,-3060.0
-5620.0,2124.0,16244.0,-4316.0,4238.0,-2676.0
-5800.0,1696.0,16076.0,-2736.0,3393.0,-2464.0
-5892.0,1760.0,16032.0,-1623.0,2982.0,-1554.0
-5936.0,1456.0,16036.0,-157.0,2240.0,-797.0
-5944.0,1428.0,16012.0,926.0,1672.0,-141.0
-5948.0,1444.0,16024.0,2132.0,1070.0,478.0
-5964.0,1500.0,16128.0,3366.0,484.0,1002.0
-5808.0,1680.0,15972.0,4305.0,-33.0,1396.0
-5588.0,1800.0,16064.0,4936.0,-326.0,1611.0
-5592.0,2004.0,15972.0,5415.0,-581.0,1732.0
-5464.0,2272.0,15904.0,5449.0,-598.0,1914.0
-5292.0,2516.0,15876.0,5171.0,-383.0,1799.0
-5104.0,2736.0,15944.0,4532.0,-27.0,1549.0
-5024.0,2956.0,15816.0,3246.0,555.0,1001.0
-5072.0,2992.0,15788.0,1704.0,1298.0,256.0
-5100.0,2928.0,15784.0,558.0,1886.0,-257.0
-5136.0,2696.0,15932.0,-36.0,2202.0,-456.0
-5356.0,2572.0,16012.0,47.0,2111.0,-464.0
-5392.0,2416.0,16028.0,600.0,1881.0,-203.0
-5448.0,2412.0,16064.0,1072.0,1594.0,11.0
-5400.0,2376.0,15956.0,1548.0,1398.0,187.0
-5488.0,2348.0,16004.0,1985.0,1167.0,419.0
-5420.0,2424.0,15960.0,2287.0,1013.0,537.0
-5344.0,2444.0,16024.0,2657.0,909.0,686.0
-5308.0,2508.0,15992.0,2729.0,815.0,726.0
-5328.0,2688.0,16004.0,2623.0,862.0,712.0
-5244.0,2676.0,15892.0,2155.0,1052.0,502.0
-5228.0,2732.0,15924.0,1730.0,1323.0,286.0
-5300.0,2632.0,15880.0,1365.0,1492.0,136.0
-5248.0,2564.0,15916.0,1266.0,1552.0,79.0
-5344.0,2512.0,15992.0,1412.0,1441.0,160.0
-5248.0,2500.0,15956.0,1598.0,1369.0,237.0
-5328.0,2524.0,15920.0,1802.0,1263.0,324.0
-5368.0,2560.0,15940.0,1971.0,1210.0,383.0
-5236.0,2616.0,16008.0,1998.0,1120.0,397.0
-5252.0,2552.0,16016.0,1913.0,1211.0,397.0
-5328.0,2572.0,16080.0,1843.0,1273.0,343.0
-5292.0,2608.0,15888.0,1688.0,1294.0,283.0
-5284.0,2624.0,15976.0,1648.0,1288.0,279.0
-5392.0,2624.0,16028.0,1700.0,1293.0,263.0
-5352.0,2544.0,16036.0,1769.0,1321.0,310.0
-5328.0,2628.0,15984.0,1796.0,1231.0,345.0
-5260.0,2612.0,16044.0,1801.0,1267.0,352.0
-5228.0,2584.0,15944.0,1779.0,1269.0,307.0
-5244.0,2596.0,15972.0,1762.0,1309.0,316.0
-5348.0,2580.0,15920.0,1721.0,1313.0,281.0
-5288.0,2596.0,15964.0,1731.0,1317.0,300.0
-5300.0,2580.0,15920.0,1780.0,1273.0,332.0
-5304.0,2628.0,16028.0,1828.0,1300.0,319.0
-5264.0,2644.0,16032.0,1748.0,1258.0,307.0
-5260.0,2600.0,15932.0,1750.0,1308.0,304.0
-5296.0,2620.0,16092.0,1733.0,1320.0,277.0
-5308.0,2624.0,15980.0,1733.0,1286.0,326.0
-5348.0,2584.0,15968.0,1807.0,1291.0,315.0
-5280.0,2612.0,15952.0,1777.0,1277.0,329.0
-5308.0,2564.0,15852.0,1732.0,1292.0,326.0
-5248.0,2620.0,15996.0,1718.0,1287.0,319.0
-5252.0,2648.0,15956.0,1753.0,1268.0,319.0
-5280.0,2632.0,15960.0,1760.0,1270.0,290.0
-5280.0,2568.0,15900.0,1776.0,1288.0,347.0
-5288.0,2648.0,16064.0,1781.0,1293.0,301.0
-5324.0,2616.0,15924.0,1762.0,1273.0,285.0
-5292.0,2612.0,16048.0,1757.0,1286.0,309.0
-5268.0,2576.0,15896.0,1803.0,1329.0,283.0
-5328.0,2648.0,15980.0,1766.0,1269.0,322.0
-5296.0,2660.0,15964.0,1784.0,1273.0,305.0
-5264.0,2604.0,15912.0,1760.0,1296.0,335.0
-5336.0,2628.0,16012.0,1777.0,1281.0,320.0
-5292.0,2596.0,15980.0,1787.0,1324.0,306.0
-5232.0,2608.0,16024.0,1774.0,1296.0,277.0
-5212.0,2616.0,16140.0,1803.0,1299.0,309.0
-5264.0,2600.0,16008.0,1772.0,1273.0,303.0
-5292.0,2588.0,15900.0,1751.0,1342.0,328.0
-5256.0,2660.0,15908.0,1781.0,1290.0,304.0
-5336.0,2556.0,15900.0,1731.0,1273.0,312.0
-5244.0,2612.0,16028.0,1807.0,1290.0,291.0
-5224.0,2608.0,15960.0,1742.0,1275.0,282.0
-5208.0,2584.0,15944.0,1766.0,1284.0,341.0
-5316.0,2616.0,16008.0,1733.0,1307.0,317.0
-5332.0,2648.0,15928.0,1781.0,1281.0,319.0
-5320.0,2588.0,16000.0,1786.0,1286.0,313.0
-5252.0,2664.0,15924.0,1754.0,1291.0,335.0
-5264.0,2588.0,16052.0,1742.0,1256.0,282.0
-5232.0,2620.0,15964.0,1761.0,1313.0,304.0
-5276.0,2596.0,15992.0,1761.0,1291.0,307.0
-5272.0,2668.0,15884.0,1783.0,1292.0,312.0
-5252.0,2616.0,15960.0,1769.0,1296.0,316.0
