AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-1876.0,3840.0,16716.0,-821.0,4195.0,729.0
-3596.0,4448.0,16944.0,132.0,4169.0,1036.0
-3808.0,3908.0,18184.0,2483.0,3681.0,1296.0
-6612.0,4640.0,20700.0,8694.0,1565.0,2192.0
-11012.0,10884.0,25928.0,3209.0,611.0,2477.0
-7988.0,10152.0,25976.0,747.0,-6801.0,4872.0
-7428.0,8684.0,24492.0,-331.0,-11960.0,5581.0
-4220.0,5940.0,22280.0,551.0,-15949.0,5578.0
-1312.0,5028.0,18896.0,1153.0,-17137.0,3837.0
992.0,2420.0,12616.0,5630.0,-16825.0,6468.0
4936.0,4900.0,7224.0,8835.0,-11324.0,6651.0
7284.0,4620.0,1476.0,10460.0,-2924.0,7222.0
5976.0,5108.0,-2080.0,9029.0,8050.0,7893.0
3684.0,6420.0,-1580.0,2780.0,21450.0,9400.0
1652.0,5328.0,17176.0,-10033.0,32767.0,10418.0
464.0,3180.0,32767.0,-13480.0,32767.0,10280.0
-2028.0,-2288.0,32767.0,-14807.0,13835.0,10801.0
-5944.0,-6136.0,32767.0,-1589.0,-5557.0,6692.0
-8928.0,-9316.0,31764.0,15305.0,-21339.0,-236.0
-6592.0,1328.0,17216.0,32767.0,-32768.0,-818.0
-2900.0,4476.0,-36.0,32767.0,-32768.0,1140.0
1012.0,1916.0,-16684.0,32767.0,-30425.0,8.0
6488.0,6900.0,-16352.0,27868.0,-21571.0,-933.0
9492.0,2920.0,-5584.0,8261.0,-8396.0,277.0
5528.0,11744.0,-8384.0,-16119.0,24199.0,-4342.0
6376.0,12540.0,16464.0,-22080.0,32767.0,-7561.0
1740.0,7844.0,32767.0,11562.0,32767.0,-14119.0
-5340.0,788.0,24976.0,698.0,25698.0,-16592.0
-17104.0,23256.0,32767.0,20881.0,-7244.0,11642.0
-8984.0,21944.0,28360.0,28984.0,-24383.0,21096.0
-1016.0,9924.0,11768.0,32767.0,-32768.0,10581.0
-804.0,5364.0,-1392.0,32767.0,-29660.0,16560.0
7424.0,3988.0,-7208.0,32767.0,-19296.0,13167.0
8224.0,-2528.0,-8744.0,26621.0,-9759.0,9733.0
7616.0,976.0,-8112.0,4454.0,2564.0,-305.0
5832.0,-2844.0,-4836.0,-10736.0,16608.0,-17476.0
-132.0,2588.0,696.0,-8974.0,30857.0,-32768.0
-5900.0,19552.0,15920.0,5585.0,32767.0,-32768.0
-4776.0,32767.0,13012.0,5871.0,20608.0,-30393.0
-18288.0,32767.0,28968.0,-12852.0,-1366.0,6401.0
-4372.0,32767.0,28612.0,5790.0,-8702.0,25065.0
-5500.0,20200.0,12892.0,17504.0,-18924.0,28197.0
-7780.0,9576.0,1712.0,25231.0,-20766.0,32767.0
1028.0,-2692.0,-6412.0,27938.0,-15860.0,27879.0
7432.0,-11672.0,-7460.0,22481.0,-8979.0,14306.0
9980.0,-6144.0,-3304.0,7075.0,1729.0,-629.0
5812.0,296.0,-4976.0,-18706.0,12133.0,-19400.0
3628.0,-4504.0,-4472.0,-32145.0,25700.0,-32768.0
-7992.0,12616.0,8712.0,-15876.0,29890.0,-32768.0
-6460.0,32767.0,21892.0,-21130.0,19409.0,-29193.0
-13012.0,32767.0,31700.0,-9932.0,1743.0,12108.0
-4428.0,32767.0,23876.0,5707.0,-14124.0,23854.0
-8352.0,16632.0,11336.0,31513.0,-25619.0,32767.0
-6412.0,3556.0,-2280.0,32767.0,-25309.0,32767.0
3744.0,-7300.0,-10360.0,32767.0,-14661.0,24649.0
10464.0,-936.0,-3936.0,10828.0,1397.0,7743.0
11252.0,-5152.0,-5156.0,-32768.0,11533.0,-14143.0
3256.0,-18036.0,-11488.0,-32768.0,22990.0,-32768.0
-9048.0,2124.0,-188.0,-29200.0,31968.0,-32768.0
-11552.0,26392.0,18824.0,-24203.0,29287.0,-32768.0
-10612.0,32767.0,28908.0,-32768.0,20268.0,-19291.0
-12256.0,32767.0,23868.0,-32768.0,3121.0,11248.0
-10856.0,15260.0,10932.0,-32768.0,-10967.0,14358.0
-5952.0,-1656.0,3704.0,-19116.0,-14757.0,6026.0
-2300.0,-1028.0,4944.0,731.0,-18600.0,3590.0
3744.0,7560.0,6344.0,288.0,-11914.0,3808.0
4500.0,8672.0,10632.0,-9225.0,-4612.0,5187.0
2400.0,9612.0,12804.0,-18531.0,2332.0,2184.0
2188.0,5228.0,15088.0,-10953.0,10443.0,-1609.0
-676.0,792.0,15084.0,-3792.0,12851.0,-4215.0
-588.0,4860.0,15896.0,1520.0,7781.0,-4145.0
392.0,4180.0,18768.0,13525.0,1666.0,-2665.0
-760.0,5136.0,12612.0,22938.0,-2617.0,-1238.0
180.0,8948.0,5652.0,26946.0,-4273.0,1342.0
2896.0,14040.0,4556.0,20709.0,920.0,-2838.0
