AccX,AccY,AccZ,GyroX,GyroY,GyroZ
8288.0,13912.0,-8292.0,-5355.0,8237.0,6663.0
5664.0,10076.0,-1444.0,-8630.0,12393.0,4423.0
1460.0,13416.0,6388.0,-19570.0,14422.0,2370.0
-952.0,13112.0,20472.0,-31964.0,13100.0,2187.0
-3200.0,6984.0,22092.0,-32768.0,9543.0,4904.0
-3812.0,-8556.0,32767.0,-16546.0,3521.0,2380.0
968.0,-14388.0,31512.0,14228.0,-5407.0,-2492.0
2060.0,-5668.0,17168.0,32767.0,-13556.0,-4524.0
-6216.0,13392.0,5980.0,32767.0,-14419.0,-5576.0
-8296.0,23388.0,4312.0,30196.0,-11073.0,-4919.0
1212.0,22312.0,-2792.0,21853.0,-8632.0,-3188.0
7468.0,22676.0,-9888.0,12329.0,-1018.0,679.0
12412.0,20388.0,-12316.0,-5138.0,10529.0,4480.0
7856.0,12240.0,-6276.0,-17753.0,17628.0,2985.0
892.0,11004.0,5076.0,-26492.0,19711.0,1435.0
-2780.0,12700.0,25216.0,-32768.0,12686.0,1327.0
-3948.0,2676.0,32632.0,-32768.0,12408.0,4992.0
-4092.0,-19828.0,32767.0,-11889.0,6258.0,78.0
-960.0,-18320.0,29268.0,26684.0,-7248.0,-6782.0
-1040.0,1344.0,15176.0,32767.0,-14353.0,-6531.0
-9980.0,20324.0,4532.0,32767.0,-13118.0,-7097.0
-7228.0,27932.0,812.0,19648.0,-9598.0,-4664.0
3772.0,21260.0,-7180.0,14225.0,-3574.0,-1701.0
7284.0,23056.0,-11916.0,574.0,4487.0,3662.0
6708.0,18652.0,-8532.0,-15994.0,14625.0,5281.0
2348.0,10624.0,-2932.0,-27456.0,20085.0,3163.0
-4128.0,11536.0,19212.0,-32768.0,15242.0,3627.0
-2600.0,5516.0,32767.0,-32768.0,13916.0,5199.0
-2904.0,-15280.0,32767.0,-17686.0,8063.0,3425.0
80.0,-20980.0,32767.0,14903.0,-6224.0,-4862.0
-112.0,-5924.0,20628.0,32767.0,-14401.0,-8042.0
-7276.0,12900.0,7932.0,32767.0,-12972.0,-6427.0
-8928.0,23368.0,5156.0,32767.0,-11335.0,-3646.0
1876.0,22944.0,-4296.0,18331.0,-5206.0,-1369.0
2656.0,21884.0,-6396.0,10012.0,-264.0,1754.0
6436.0,19664.0,-8992.0,-8879.0,10024.0,4532.0
4024.0,13088.0,-4572.0,-22037.0,15461.0,3586.0
-672.0,11656.0,8212.0,-32573.0,16183.0,2754.0
-816.0,12452.0,7724.0,-32768.0,14130.0,4276.0
-2128.0,-3812.0,32767.0,-30704.0,10719.0,4530.0
-3128.0,-21140.0,32767.0,-4762.0,3152.0,-258.0
-556.0,-14784.0,26588.0,26252.0,-8549.0,-6930.0
-3604.0,2804.0,14760.0,32767.0,-12407.0,-6563.0
-7464.0,15896.0,8020.0,32767.0,-10597.0,-5712.0
-4840.0,21480.0,4512.0,28179.0,-8807.0,-3812.0
2876.0,20028.0,-4396.0,20524.0,-3526.0,-1922.0
4356.0,22888.0,-6840.0,10997.0,796.0,1573.0
6352.0,21788.0,-6184.0,-9894.0,11153.0,4267.0
2432.0,16520.0,-212.0,-25773.0,14332.0,2528.0
-1076.0,14952.0,12548.0,-32768.0,14039.0,2859.0
-720.0,5268.0,21592.0,-32768.0,15127.0,5870.0
-5660.0,-13312.0,32767.0,-16164.0,8023.0,7450.0
-3008.0,-24236.0,32767.0,10795.0,-3359.0,-2320.0
1164.0,-8684.0,20448.0,32767.0,-10738.0,-7016.0
-4336.0,5268.0,9916.0,32767.0,-12094.0,-7013.0
-10300.0,21912.0,5692.0,32767.0,-11047.0,-4778.0
-3472.0,25524.0,1504.0,25004.0,-9495.0,-1145.0
4300.0,20844.0,-6156.0,14737.0,-3253.0,-1656.0
5280.0,20236.0,-8876.0,2928.0,2512.0,2960.0
6356.0,17336.0,-6400.0,-12684.0,12107.0,6125.0
2192.0,12872.0,-4.0,-24822.0,15870.0,2072.0
-2100.0,15416.0,19036.0,-32768.0,12495.0,1703.0
-1792.0,5132.0,27960.0,-32768.0,12532.0,3319.0
-3696.0,-10688.0,32767.0,-20757.0,8045.0,4422.0
-2112.0,-19136.0,31232.0,8423.0,-2855.0,-2765.0
244.0,-4560.0,18836.0,30408.0,-10217.0,-5342.0
-5112.0,8160.0,11056.0,32767.0,-10191.0,-6204.0
-7516.0,20288.0,5684.0,32024.0,-7448.0,-5448.0
-1224.0,22928.0,-516.0,21319.0,-4397.0,-2156.0
2688.0,23316.0,-2840.0,12173.0,1188.0,672.0
4480.0,21372.0,-5104.0,-6393.0,8305.0,5518.0
2876.0,14980.0,-1096.0,-20143.0,13173.0,4140.0
-584.0,14684.0,9052.0,-32768.0,13686.0,3664.0
-640.0,8320.0,12784.0,-32768.0,12412.0,4903.0
-3848.0,-5848.0,32112.0,-22582.0,9812.0,5654.0
-3424.0,-21184.0,32767.0,1660.0,253.0,323.0
1212.0,-11104.0,24824.0,26240.0,-9076.0,-5832.0
-2116.0,1744.0,13820.0,32767.0,-11955.0,-7260.0
-7732.0,16476.0,8040.0,32767.0,-9985.0,-6968.0
-6492.0,23928.0,3720.0,27333.0,-9351.0,-2754.0
1804.0,21860.0,-2904.0,14073.0,-3321.0,-1866.0
2280.0,20516.0,-3584.0,4195.0,892.0,1454.0
4560.0,17316.0,-4440.0,-11029.0,8584.0,5551.0
2224.0,12280.0,1340.0,-19167.0,12646.0,3422.0
-1760.0,14188.0,15636.0,-32768.0,10308.0,2051.0
-1344.0,6424.0,26220.0,-29512.0,9745.0,3061.0
-2072.0,-4344.0,31940.0,-15571.0,5775.0,4003.0
-1264.0,-13520.0,30004.0,4911.0,-2662.0,-1124.0
1440.0,-4404.0,19392.0,24574.0,-8853.0,-4896.0
-1556.0,6968.0,10688.0,32095.0,-9600.0,-4982.0
-4184.0,18468.0,5872.0,31025.0,-7110.0,-4534.0
-1656.0,23472.0,1292.0,19676.0,-3564.0,-2187.0
2180.0,22212.0,-2480.0,8985.0,2922.0,-257.0
2648.0,20592.0,-4116.0,-5197.0,7127.0,5114.0
1784.0,18116.0,-1728.0,-21330.0,13777.0,4504.0
-1532.0,12900.0,5780.0,-32101.0,15811.0,5597.0
-2940.0,6736.0,11456.0,-32768.0,15045.0,6553.0
-6216.0,-2636.0,31196.0,-18545.0,10812.0,7346.0
-4052.0,-15076.0,32767.0,-917.0,3175.0,4324.0
664.0,-13128.0,28320.0,19034.0,-6028.0,-3589.0
-676.0,-500.0,16620.0,32767.0,-10594.0,-4232.0
-3944.0,15020.0,7688.0,32767.0,-8554.0,-3020.0
-4196.0,23204.0,-320.0,32767.0,-5524.0,943.0
2100.0,22960.0,-3624.0,21265.0,9.0,1008.0
3416.0,19632.0,-7004.0,3199.0,4746.0,3608.0
4024.0,15440.0,-5676.0,-13820.0,11990.0,4437.0
660.0,12176.0,1924.0,-23645.0,15084.0,1684.0
-2828.0,14376.0,11484.0,-32768.0,11093.0,1999.0
-4852.0,5876.0,27500.0,-29542.0,8817.0,3502.0
-3484.0,-5732.0,32767.0,-16225.0,4732.0,3331.0
-1576.0,-16460.0,29196.0,9213.0,-4001.0,-3173.0
-1256.0,-3088.0,18024.0,30306.0,-10727.0,-5661.0
-5080.0,11224.0,10908.0,32767.0,-11554.0,-6666.0
-6152.0,22412.0,6084.0,22840.0,-9988.0,-4791.0
-952.0,19116.0,-908.0,11493.0,-5172.0,-4399.0
2684.0,18884.0,-4616.0,9750.0,-361.0,-2201.0
3792.0,22888.0,-7832.0,-6908.0,6036.0,1908.0
2484.0,15524.0,-1796.0,-23004.0,12995.0,1917.0
-1952.0,10928.0,15268.0,-32768.0,11935.0,-1034.0
-3328.0,5936.0,31632.0,-21802.0,10149.0,2193.0
-4868.0,-6040.0,32767.0,-6838.0,4485.0,3717.0
-1308.0,-13580.0,29884.0,12302.0,-4926.0,-3156.0
348.0,-896.0,17980.0,29866.0,-9916.0,-4629.0
-4660.0,13316.0,10680.0,32767.0,-11089.0,-2582.0
-6928.0,23576.0,5768.0,25677.0,-9758.0,309.0
