AccX,AccY,AccZ,GyroX,GyroY,GyroZ
5464.0,-9992.0,12688.0,1072.0,5190.0,679.0
5100.0,-10220.0,12552.0,1787.0,5217.0,741.0
4904.0,-9792.0,12128.0,2624.0,4813.0,884.0
5088.0,-9140.0,11916.0,2991.0,4182.0,1096.0
5068.0,-8896.0,12172.0,2567.0,4087.0,1335.0
4748.0,-8852.0,12236.0,1906.0,4235.0,1788.0
4632.0,-9656.0,12100.0,1778.0,4163.0,2260.0
4308.0,-10824.0,12220.0,2663.0,4242.0,2311.0
4268.0,-10608.0,12204.0,4011.0,3941.0,2001.0
4052.0,-10628.0,12764.0,4627.0,3669.0,1776.0
3504.0,-10388.0,12960.0,4393.0,3639.0,1616.0
3652.0,-10416.0,12876.0,4724.0,3430.0,1159.0
3916.0,-9876.0,13028.0,5115.0,3249.0,644.0
4284.0,-9152.0,13512.0,5017.0,3247.0,446.0
4008.0,-8352.0,13984.0,4381.0,3845.0,381.0
4332.0,-7444.0,14812.0,998.0,4215.0,203.0
4648.0,-4052.0,15352.0,-9687.0,5060.0,437.0
4596.0,-2440.0,11896.0,-21564.0,2068.0,-326.0
3180.0,-11440.0,11256.0,-24927.0,5802.0,-3425.0
3628.0,-18260.0,11428.0,-16855.0,3801.0,-6956.0
3504.0,-16300.0,10624.0,-5747.0,1389.0,-4504.0
4332.0,-16056.0,10016.0,6776.0,454.0,168.0
4320.0,-17424.0,9392.0,19718.0,-129.0,1974.0
4544.0,-14928.0,9488.0,30027.0,897.0,4282.0
4968.0,-7652.0,11336.0,27480.0,2969.0,7023.0
3992.0,136.0,14088.0,11210.0,5597.0,9333.0
2628.0,-1748.0,14576.0,-8280.0,7893.0,5872.0
2968.0,-9528.0,12948.0,-17743.0,8740.0,-497.0
3112.0,-15452.0,12468.0,-15486.0,8392.0,-5251.0
2568.0,-12832.0,13072.0,-12232.0,6550.0,-4797.0
2716.0,-11148.0,12528.0,-9065.0,5031.0,-2089.0
3200.0,-14372.0,12208.0,-3939.0,4101.0,-1775.0
2752.0,-15416.0,11832.0,5670.0,2797.0,-2094.0
2900.0,-15848.0,11292.0,17799.0,1418.0,394.0
3312.0,-12920.0,12240.0,19876.0,1404.0,3536.0
2288.0,64.0,13592.0,7015.0,4515.0,7189.0
1388.0,-884.0,14040.0,-9964.0,8034.0,8590.0
472.0,-12740.0,11840.0,-18757.0,8324.0,2726.0
980.0,-19316.0,10924.0,-12700.0,6589.0,-4300.0
504.0,-16732.0,11128.0,-2774.0,3412.0,-4235.0
552.0,-15008.0,11468.0,4644.0,1078.0,-80.0
1228.0,-11536.0,11952.0,3463.0,751.0,401.0
908.0,-6120.0,11716.0,-3739.0,1909.0,-214.0
472.0,-8620.0,11624.0,-10811.0,2355.0,-255.0
492.0,-14280.0,9916.0,-10236.0,1412.0,-2986.0
1032.0,-19224.0,9316.0,614.0,-518.0,-3595.0
1232.0,-19616.0,9328.0,16440.0,-2612.0,-417.0
1664.0,-15320.0,10064.0,23752.0,-2705.0,3306.0
2104.0,-3200.0,11928.0,12201.0,-111.0,6726.0
596.0,1856.0,12892.0,-9896.0,3073.0,7140.0
448.0,-10548.0,10096.0,-21182.0,3792.0,-3.0
1868.0,-22168.0,8192.0,-11878.0,3751.0,-7299.0
1692.0,-23776.0,8668.0,7718.0,233.0,-7572.0
2564.0,-18712.0,8564.0,26873.0,-1319.0,-589.0
3296.0,-10888.0,11420.0,20945.0,-582.0,4093.0
2292.0,2240.0,12752.0,4179.0,2971.0,5384.0
944.0,-2368.0,12728.0,-13167.0,4761.0,4218.0
2016.0,-16608.0,9848.0,-16268.0,5654.0,-2318.0
2280.0,-23524.0,10096.0,-3614.0,3753.0,-8377.0
1476.0,-19488.0,10576.0,12602.0,411.0,-2773.0
2680.0,-14784.0,11308.0,20122.0,-460.0,2902.0
2492.0,-5660.0,12644.0,10089.0,965.0,4500.0
1148.0,2152.0,13224.0,-6783.0,3287.0,4728.0
1116.0,-9900.0,11740.0,-16639.0,3617.0,-647.0
2444.0,-21652.0,9964.0,-8862.0,3533.0,-7323.0
1948.0,-21868.0,10380.0,9252.0,216.0,-5924.0
2868.0,-16528.0,10148.0,24694.0,-1125.0,330.0
3144.0,-8528.0,11952.0,17951.0,-189.0,5443.0
1848.0,3240.0,13304.0,-320.0,3423.0,5951.0
852.0,-4548.0,12544.0,-15758.0,4605.0,2820.0
2172.0,-16800.0,10012.0,-16652.0,5687.0,-4455.0
1640.0,-21156.0,10376.0,-4537.0,3390.0,-8400.0
1552.0,-18888.0,11044.0,10940.0,163.0,-1998.0
2740.0,-14352.0,12036.0,18158.0,-652.0,3397.0
2092.0,-4760.0,12892.0,8105.0,781.0,3933.0
772.0,1256.0,13096.0,-7653.0,3077.0,4542.0
1136.0,-11912.0,11452.0,-16064.0,3374.0,-749.0
1828.0,-22024.0,10080.0,-6819.0,2732.0,-6808.0
1244.0,-21160.0,10444.0,10161.0,-804.0,-3691.0
2516.0,-16820.0,9996.0,26479.0,-1913.0,2399.0
2432.0,-8704.0,12296.0,20415.0,-972.0,6618.0
1272.0,3748.0,13980.0,710.0,2629.0,6683.0
96.0,-5048.0,12528.0,-16938.0,3811.0,3243.0
1872.0,-17964.0,10228.0,-18520.0,5467.0,-4248.0
1180.0,-22648.0,9572.0,-2878.0,2823.0,-8236.0
1280.0,-20564.0,10460.0,15179.0,-1451.0,-2070.0
3004.0,-15884.0,10020.0,32144.0,-1277.0,4303.0
2512.0,-8704.0,11792.0,29295.0,10.0,5593.0
1896.0,4892.0,13560.0,10785.0,2699.0,7319.0
812.0,3668.0,14572.0,-12872.0,5967.0,6286.0
348.0,-12324.0,12040.0,-22421.0,5099.0,-1150.0
1828.0,-21256.0,11084.0,-11644.0,4178.0,-7395.0
552.0,-19780.0,11992.0,4963.0,377.0,-4740.0
1660.0,-15108.0,12160.0,15889.0,-1664.0,1272.0
2104.0,-6660.0,13324.0,9804.0,-753.0,2851.0
