AccX,AccY,AccZ,GyroX,GyroY,GyroZ
8752.0,-2468.0,14384.0,2684.0,3481.0,2076.0
8556.0,-2324.0,14644.0,1338.0,4517.0,2631.0
8344.0,-2696.0,14432.0,-33.0,5472.0,3273.0
8028.0,-3472.0,14156.0,-605.0,6209.0,3759.0
7452.0,-3900.0,14308.0,83.0,7274.0,3808.0
6964.0,-3228.0,15484.0,-303.0,8233.0,3620.0
6480.0,-2524.0,15604.0,-3092.0,8231.0,3787.0
6288.0,-2004.0,16564.0,-6594.0,10178.0,4989.0
5648.0,-3420.0,16672.0,-9644.0,10801.0,4559.0
4944.0,-5072.0,15980.0,-11640.0,9581.0,5608.0
4748.0,-6232.0,14784.0,-11745.0,7240.0,3736.0
4756.0,-7448.0,14444.0,-9681.0,6305.0,2640.0
4336.0,-7972.0,13904.0,-7077.0,5267.0,1419.0
4600.0,-7336.0,14724.0,-4868.0,5245.0,1005.0
3744.0,-7224.0,16220.0,-7050.0,4205.0,1200.0
3564.0,-7484.0,14384.0,-10765.0,2655.0,733.0
4420.0,-9040.0,12908.0,-11112.0,3428.0,1044.0
4384.0,-10976.0,12936.0,-8561.0,5178.0,1520.0
3248.0,-9824.0,13268.0,-6439.0,6217.0,1034.0
2896.0,-8968.0,13616.0,-5791.0,5836.0,1052.0
2348.0,-10128.0,14320.0,-6958.0,3751.0,329.0
2812.0,-10432.0,13004.0,-7225.0,2505.0,-583.0
3444.0,-10660.0,12488.0,-6145.0,2850.0,-506.0
3368.0,-11968.0,12376.0,-4787.0,3356.0,-161.0
2580.0,-11120.0,12748.0,-4668.0,2748.0,-452.0
2424.0,-10712.0,12444.0,-6287.0,992.0,-889.0
3380.0,-11856.0,11436.0,-6969.0,285.0,-1302.0
3452.0,-13108.0,11192.0,-5556.0,800.0,-1062.0
2864.0,-11784.0,11332.0,-4439.0,475.0,-1081.0
3592.0,-12820.0,10304.0,-2741.0,83.0,-1001.0
4144.0,-14012.0,10052.0,932.0,1561.0,-751.0
3820.0,-13344.0,10648.0,5856.0,3319.0,-6.0
4084.0,-13308.0,10084.0,11736.0,5473.0,1021.0
3692.0,-13384.0,10516.0,19066.0,7679.0,1703.0
3104.0,-11064.0,10832.0,25720.0,9471.0,2310.0
1888.0,-9004.0,13856.0,25632.0,9220.0,2282.0
524.0,-6100.0,16912.0,15610.0,5643.0,1161.0
440.0,-5952.0,16628.0,585.0,556.0,-802.0
1704.0,-8132.0,16072.0,-10774.0,-1946.0,-1893.0
1944.0,-8604.0,14876.0,-22969.0,-4287.0,-3204.0
3132.0,-10544.0,11252.0,-26576.0,-4989.0,-3349.0
3404.0,-11928.0,10608.0,-24633.0,-4295.0,-2803.0
3728.0,-13588.0,9292.0,-19109.0,-3294.0,-2331.0
4032.0,-14176.0,8772.0,-13683.0,-1989.0,-1909.0
4212.0,-14812.0,8276.0,-9182.0,-1095.0,-2144.0
4580.0,-14232.0,7464.0,-5130.0,842.0,-1721.0
4728.0,-15504.0,7716.0,-764.0,2745.0,-380.0
4516.0,-15196.0,7976.0,4015.0,4610.0,405.0
4224.0,-14768.0,8140.0,9473.0,5971.0,882.0
3732.0,-13952.0,8888.0,13375.0,6432.0,1144.0
3240.0,-13012.0,9740.0,14626.0,6223.0,1346.0
3036.0,-12580.0,10228.0,14785.0,5569.0,1671.0
3224.0,-12812.0,10692.0,14660.0,5480.0,2117.0
2848.0,-12004.0,11384.0,14163.0,5338.0,2312.0
2184.0,-10844.0,12848.0,11111.0,4444.0,1764.0
1448.0,-9608.0,13376.0,3764.0,1324.0,454.0
2168.0,-10580.0,12956.0,-2780.0,-1006.0,-560.0
2140.0,-10296.0,13388.0,-9713.0,-2949.0,-1107.0
2956.0,-11636.0,11688.0,-13960.0,-3791.0,-1536.0
3228.0,-11820.0,10364.0,-15379.0,-3634.0,-1641.0
2396.0,-11748.0,10432.0,-21381.0,-6413.0,-2641.0
4468.0,-14692.0,7776.0,-18512.0,-5484.0,-3053.0
5060.0,-14788.0,6924.0,-13764.0,-2609.0,-2656.0
5108.0,-15904.0,6676.0,-7825.0,-425.0,-1438.0
4308.0,-14488.0,7188.0,-5195.0,193.0,-585.0
4492.0,-14948.0,6224.0,-4306.0,337.0,-384.0
4868.0,-15872.0,5848.0,-2149.0,770.0,-358.0
5316.0,-16236.0,5332.0,2995.0,2533.0,271.0
5796.0,-17104.0,5024.0,11534.0,5777.0,1749.0
5380.0,-16844.0,6308.0,21486.0,9276.0,2409.0
4364.0,-15516.0,7508.0,30560.0,11814.0,4319.0
2900.0,-11496.0,9064.0,32767.0,12121.0,5051.0
2016.0,-10272.0,11464.0,29283.0,10503.0,5296.0
1620.0,-10180.0,13272.0,22297.0,7995.0,4334.0
1236.0,-9272.0,14584.0,11538.0,4395.0,2291.0
828.0,-8572.0,15020.0,-238.0,614.0,449.0
1036.0,-8056.0,15528.0,-14205.0,-2993.0,-1014.0
1440.0,-10364.0,12964.0,-24361.0,-6674.0,-2055.0
1308.0,-8656.0,11556.0,-32768.0,-9628.0,-2370.0
3072.0,-12396.0,7588.0,-32768.0,-12203.0,-805.0
4796.0,-17560.0,5788.0,-29850.0,-9419.0,-158.0
3536.0,-12672.0,5088.0,-24744.0,-7611.0,1122.0
4232.0,-16724.0,2676.0,-19273.0,-6756.0,3305.0
4036.0,-16576.0,2452.0,-16243.0,-6004.0,2710.0
4208.0,-17464.0,372.0,-14006.0,-4954.0,2457.0
3832.0,-16364.0,2068.0,-12402.0,-4376.0,2301.0
2992.0,-16816.0,448.0,-10690.0,-6046.0,3864.0
4696.0,-18940.0,-1744.0,-7360.0,-4094.0,1819.0
3632.0,-15560.0,-256.0,-4268.0,-1564.0,2647.0
3244.0,-18260.0,156.0,-591.0,-714.0,2931.0
4436.0,-22036.0,32.0,9801.0,1725.0,1125.0
5252.0,-22556.0,-1700.0,25102.0,6632.0,-60.0
5312.0,-23572.0,-1152.0,32767.0,12906.0,-2376.0
3920.0,-17080.0,656.0,32767.0,17963.0,-1665.0
