AccX,AccY,AccZ,GyroX,GyroY,GyroZ
832.0,2940.0,16620.0,1721.0,1261.0,330.0
936.0,2880.0,16780.0,1678.0,1278.0,354.0
1164.0,2932.0,17120.0,1776.0,1388.0,284.0
964.0,2872.0,16520.0,1707.0,1394.0,292.0
588.0,3084.0,16336.0,1769.0,1315.0,343.0
604.0,3136.0,16808.0,1758.0,1271.0,260.0
860.0,2908.0,16656.0,1680.0,1306.0,296.0
1256.0,2892.0,16796.0,1747.0,1277.0,327.0
1116.0,2928.0,16848.0,1781.0,1356.0,319.0
880.0,2888.0,16812.0,1736.0,1352.0,337.0
700.0,2968.0,16660.0,1760.0,1347.0,319.0
852.0,3092.0,16632.0,1787.0,1292.0,306.0
880.0,3040.0,16692.0,1769.0,1263.0,327.0
1028.0,3068.0,16844.0,1735.0,1336.0,317.0
1092.0,3056.0,16628.0,1779.0,1354.0,317.0
852.0,3008.0,16704.0,1735.0,1333.0,346.0
732.0,2944.0,16780.0,1719.0,1355.0,294.0
812.0,2980.0,16596.0,1753.0,1324.0,303.0
900.0,2896.0,16640.0,1766.0,1305.0,344.0
976.0,2996.0,16808.0,1764.0,1257.0,298.0
1016.0,2940.0,16692.0,1746.0,1312.0,313.0
836.0,3004.0,16760.0,1705.0,1312.0,319.0
892.0,3036.0,16876.0,1721.0,1308.0,300.0
868.0,3008.0,16724.0,1714.0,1334.0,330.0
860.0,2956.0,16720.0,1765.0,1308.0,333.0
856.0,3004.0,16688.0,1763.0,1330.0,322.0
828.0,2984.0,16752.0,1727.0,1295.0,351.0
936.0,3044.0,16696.0,1734.0,1297.0,303.0
900.0,2988.0,16748.0,1751.0,1325.0,321.0
908.0,2972.0,16728.0,1755.0,1320.0,295.0
872.0,2928.0,16704.0,1775.0,1316.0,286.0
936.0,2944.0,16664.0,1794.0,1312.0,298.0
924.0,2860.0,16696.0,1741.0,1284.0,317.0
848.0,2972.0,16776.0,1732.0,1309.0,307.0
892.0,3012.0,16616.0,1740.0,1277.0,334.0
896.0,3068.0,16712.0,1740.0,1273.0,326.0
932.0,3016.0,16720.0,1712.0,1318.0,319.0
876.0,2980.0,16648.0,1761.0,1333.0,296.0
936.0,3024.0,16692.0,1740.0,1309.0,323.0
912.0,2956.0,16732.0,1746.0,1337.0,307.0
880.0,2936.0,16720.0,1757.0,1352.0,319.0
912.0,2992.0,16708.0,1695.0,1312.0,355.0
916.0,2940.0,16664.0,1758.0,1288.0,326.0
832.0,2912.0,16764.0,1771.0,1321.0,308.0
912.0,3016.0,16680.0,1746.0,1351.0,298.0
900.0,3012.0,16604.0,1772.0,1315.0,308.0
928.0,2960.0,16748.0,1739.0,1307.0,317.0
840.0,2980.0,16668.0,1804.0,1302.0,317.0
932.0,2996.0,16668.0,1741.0,1327.0,315.0
892.0,3000.0,16672.0,1735.0,1294.0,319.0
960.0,3036.0,16684.0,1757.0,1318.0,298.0
872.0,2988.0,16740.0,1727.0,1309.0,293.0
868.0,2996.0,16728.0,1740.0,1358.0,292.0
888.0,2988.0,16692.0,1741.0,1324.0,315.0
892.0,3000.0,16732.0,1741.0,1297.0,297.0
936.0,2936.0,16724.0,1762.0,1304.0,325.0
940.0,2932.0,16716.0,1782.0,1329.0,317.0
944.0,3020.0,16776.0,1737.0,1315.0,320.0
928.0,2928.0,16796.0,1708.0,1293.0,323.0
904.0,3016.0,16684.0,1733.0,1319.0,289.0
888.0,3024.0,16784.0,1774.0,1359.0,299.0
920.0,2996.0,16816.0,1781.0,1334.0,252.0
916.0,2928.0,16728.0,1758.0,1334.0,326.0
888.0,2976.0,16688.0,1681.0,1312.0,308.0
872.0,2988.0,16728.0,1709.0,1313.0,306.0
912.0,2952.0,16756.0,1765.0,1308.0,318.0
944.0,2900.0,16768.0,1707.0,1330.0,296.0
928.0,2884.0,16732.0,1714.0,1306.0,325.0
884.0,3016.0,16676.0,1763.0,1311.0,331.0
964.0,2992.0,16716.0,1764.0,1331.0,309.0
884.0,2960.0,16668.0,1759.0,1325.0,318.0
924.0,3064.0,16776.0,1741.0,1337.0,313.0
876.0,2932.0,16748.0,1765.0,1340.0,311.0
900.0,2964.0,16656.0,1744.0,1333.0,319.0
868.0,3032.0,16744.0,1779.0,1341.0,309.0
876.0,2980.0,16644.0,1747.0,1293.0,326.0
884.0,2976.0,16764.0,1756.0,1333.0,329.0
888.0,2936.0,16720.0,1768.0,1334.0,317.0
932.0,3044.0,16776.0,1725.0,1396.0,315.0
936.0,3008.0,16808.0,1722.0,1309.0,314.0
820.0,2952.0,16708.0,1764.0,1325.0,292.0
836.0,2992.0,16712.0,1747.0,1327.0,296.0
864.0,2988.0,16760.0,1778.0,1311.0,330.0
928.0,2980.0,16716.0,1718.0,1313.0,339.0
912.0,2960.0,16724.0,1731.0,1324.0,330.0
968.0,2956.0,16732.0,1772.0,1322.0,310.0
832.0,3016.0,16676.0,1735.0,1287.0,331.0
816.0,3020.0,16724.0,1718.0,1312.0,308.0
912.0,2976.0,16784.0,1746.0,1318.0,303.0
904.0,3012.0,16696.0,1767.0,1295.0,326.0
